"lon","lat","pr","col"
249.875,-89.875,0,"#FD8D3C"
250.125,-89.875,0,"#FD8D3C"
250.375,-89.875,0,"#F03B20"
250.625,-89.875,0,"#FFFFB2"
250.875,-89.875,0,"#FFFFB2"
251.125,-89.875,0,"#F03B20"
251.375,-89.875,0,"#FECC5C"
251.625,-89.875,0,"#FFFFB2"
251.875,-89.875,0,"#FECC5C"
252.125,-89.875,0,"#F03B20"
252.375,-89.875,0,"#FECC5C"
252.625,-89.875,0,"#FECC5C"
252.875,-89.875,0,"#FFFFB2"
253.125,-89.875,0,"#FECC5C"
253.375,-89.875,0,"#F03B20"
253.625,-89.875,0,"#FD8D3C"
253.875,-89.875,0,"#FECC5C"
254.125,-89.875,0,"#FFFFB2"
254.375,-89.875,0,"#FECC5C"
254.625,-89.875,0,"#FFFFB2"
254.875,-89.875,0,"#FD8D3C"
255.125,-89.875,0,"#FD8D3C"
255.375,-89.875,0,"#F03B20"
255.625,-89.875,0,"#FECC5C"
255.875,-89.875,0,"#FD8D3C"
256.125,-89.875,0,"#BD0026"
256.375,-89.875,0,"#BD0026"
256.625,-89.875,0,"#FD8D3C"
256.875,-89.875,0,"#FFFFB2"
257.125,-89.875,0,"#BD0026"
257.375,-89.875,0,"#F03B20"
257.625,-89.875,0,"#FFFFB2"
257.875,-89.875,0,"#BD0026"
258.125,-89.875,0,"#BD0026"
258.375,-89.875,0,"#FD8D3C"
258.625,-89.875,0,"#F03B20"
258.875,-89.875,0,"#F03B20"
259.125,-89.875,0,"#F03B20"
259.375,-89.875,0,"#FFFFB2"
259.625,-89.875,0,"#F03B20"
259.875,-89.875,0,"#FFFFB2"
260.125,-89.875,0,"#FECC5C"
260.375,-89.875,0,"#BD0026"
260.625,-89.875,0,"#F03B20"
260.875,-89.875,0,"#BD0026"
261.125,-89.875,0,"#FFFFB2"
261.375,-89.875,0,"#BD0026"
261.625,-89.875,0,"#FD8D3C"
261.875,-89.875,0,"#FFFFB2"
262.125,-89.875,0,"#FECC5C"
262.375,-89.875,0,"#BD0026"
262.625,-89.875,0,"#FD8D3C"
262.875,-89.875,0,"#BD0026"
263.125,-89.875,0,"#BD0026"
263.375,-89.875,0,"#BD0026"
263.625,-89.875,0,"#BD0026"
263.875,-89.875,0,"#FD8D3C"
264.125,-89.875,0,"#FFFFB2"
264.375,-89.875,0,"#FFFFB2"
264.625,-89.875,0,"#F03B20"
264.875,-89.875,0,"#BD0026"
265.125,-89.875,0,"#BD0026"
265.375,-89.875,0,"#BD0026"
265.625,-89.875,0,"#F03B20"
265.875,-89.875,0,"#FD8D3C"
266.125,-89.875,0,"#FFFFB2"
266.375,-89.875,0,"#FECC5C"
266.625,-89.875,0,"#F03B20"
266.875,-89.875,0,"#FD8D3C"
267.125,-89.875,0,"#BD0026"
267.375,-89.875,0,"#FECC5C"
267.625,-89.875,0,"#F03B20"
267.875,-89.875,0,"#FFFFB2"
268.125,-89.875,0,"#F03B20"
268.375,-89.875,0,"#FECC5C"
268.625,-89.875,0,"#FECC5C"
268.875,-89.875,0,"#FECC5C"
269.125,-89.875,0,"#FD8D3C"
269.375,-89.875,0,"#BD0026"
269.625,-89.875,0,"#BD0026"
269.875,-89.875,0,"#FFFFB2"
270.125,-89.875,0,"#FECC5C"
270.375,-89.875,0,"#FFFFB2"
270.625,-89.875,0,"#FECC5C"
270.875,-89.875,0,"#FD8D3C"
271.125,-89.875,0,"#FFFFB2"
271.375,-89.875,0,"#FECC5C"
271.625,-89.875,0,"#F03B20"
271.875,-89.875,0,"#FECC5C"
272.125,-89.875,0,"#FECC5C"
272.375,-89.875,0,"#F03B20"
272.625,-89.875,0,"#BD0026"
272.875,-89.875,0,"#FECC5C"
273.125,-89.875,0,"#FFFFB2"
273.375,-89.875,0,"#FECC5C"
273.625,-89.875,0,"#FFFFB2"
273.875,-89.875,0,"#FFFFB2"
274.125,-89.875,0,"#FECC5C"
274.375,-89.875,0,"#FD8D3C"
274.625,-89.875,0,"#FD8D3C"
274.875,-89.875,0,"#FFFFB2"
